0. Zero-hash;1. Hash-FirstLetterASCIICode;2. Hash-LenOfWord;3. Hash-AsciiSumOfLetters;4. ROL-hash;5. ROR-hash;6. DJB2;7. CRC-32;
0 1041;0 0;0 0;0 0;0 0;0 1;0 1;0 5;
1 0;1 0;1 8;1 0;1 2;1 1;1 4;1 5;
2 0;2 0;2 50;2 0;2 0;2 1;2 1;2 2;
3 0;3 0;3 176;3 0;3 2;3 4;3 2;3 2;
4 0;4 0;4 627;4 0;4 1;4 5;4 3;4 5;
5 0;5 0;5 1108;5 0;5 1;5 1;5 1;5 3;
6 0;6 0;6 1618;6 0;6 1;6 3;6 3;6 1;
7 0;7 0;7 1703;7 0;7 1;7 0;7 5;7 2;
8 0;8 0;8 1463;8 0;8 0;8 1;8 2;8 2;
9 0;9 0;9 1049;9 1;9 1;9 1;9 1;9 2;
10 0;10 0;10 665;10 2;10 1;10 1;10 3;10 4;
11 0;11 0;11 360;11 0;11 1;11 2;11 3;11 2;
12 0;12 0;12 186;12 2;12 0;12 4;12 1;12 1;
13 0;13 0;13 71;13 1;13 0;13 1;13 1;13 1;
14 0;14 0;14 22;14 0;14 2;14 2;14 3;14 0;
15 0;15 0;15 5;15 0;15 1;15 1;15 1;15 6;
16 0;16 0;16 4;16 0;16 2;16 0;16 5;16 5;
17 0;17 0;17 0;17 0;17 0;17 0;17 2;17 5;
18 0;18 0;18 0;18 0;18 1;18 0;18 1;18 5;
19 0;19 0;19 0;19 0;19 2;19 0;19 2;19 5;
20 0;20 0;20 0;20 0;20 0;20 1;20 4;20 1;
21 0;21 0;21 0;21 0;21 0;21 0;21 4;21 0;
22 0;22 0;22 0;22 0;22 1;22 2;22 4;22 3;
23 0;23 0;23 0;23 0;23 0;23 0;23 5;23 3;
24 0;24 0;24 0;24 0;24 3;24 1;24 3;24 4;
25 0;25 0;25 1;25 0;25 2;25 0;25 5;25 2;
26 0;26 0;26 0;26 1;26 1;26 2;26 1;26 2;
27 0;27 0;27 0;27 3;27 1;27 1;27 1;27 0;
28 0;28 0;28 0;28 1;28 1;28 1;28 3;28 0;
29 0;29 0;29 0;29 0;29 0;29 1;29 3;29 2;
30 0;30 0;30 0;30 0;30 3;30 1;30 2;30 3;
31 0;31 0;31 0;31 1;31 1;31 3;31 1;31 7;
32 0;32 0;32 0;32 0;32 2;32 0;32 2;32 2;
33 0;33 0;33 0;33 1;33 0;33 0;33 3;33 4;
34 0;34 0;34 0;34 0;34 4;34 3;34 0;34 3;
35 0;35 0;35 0;35 0;35 1;35 4;35 3;35 5;
36 0;36 0;36 0;36 0;36 1;36 0;36 6;36 5;
37 0;37 0;37 0;37 1;37 2;37 1;37 3;37 2;
38 0;38 2;38 0;38 0;38 0;38 1;38 1;38 5;
39 0;39 6;39 0;39 1;39 2;39 1;39 1;39 1;
40 0;40 0;40 0;40 2;40 3;40 0;40 4;40 3;
41 0;41 0;41 0;41 0;41 2;41 2;41 1;41 6;
42 0;42 0;42 0;42 0;42 1;42 0;42 1;42 3;
43 0;43 0;43 0;43 3;43 2;43 0;43 3;43 2;
44 0;44 0;44 0;44 2;44 1;44 0;44 5;44 3;
45 0;45 0;45 0;45 0;45 0;45 1;45 4;45 2;
46 0;46 0;46 0;46 1;46 1;46 2;46 2;46 4;
47 0;47 0;47 0;47 0;47 4;47 4;47 3;47 1;
48 0;48 0;48 0;48 1;48 1;48 3;48 1;48 1;
49 0;49 1;49 0;49 1;49 1;49 9;49 0;49 1;
50 0;50 0;50 0;50 1;50 1;50 7;50 2;50 2;
51 0;51 0;51 0;51 0;51 0;51 3;51 4;51 6;
52 0;52 0;52 0;52 0;52 0;52 4;52 3;52 2;
53 0;53 0;53 0;53 2;53 0;53 2;53 0;53 1;
54 0;54 0;54 0;54 0;54 0;54 3;54 5;54 1;
55 0;55 0;55 0;55 1;55 1;55 5;55 3;55 2;
56 0;56 0;56 0;56 0;56 0;56 0;56 2;56 1;
57 0;57 0;57 0;57 0;57 0;57 3;57 4;57 3;
58 0;58 0;58 0;58 0;58 1;58 2;58 3;58 0;
59 0;59 0;59 0;59 1;59 2;59 6;59 0;59 4;
60 0;60 0;60 0;60 1;60 3;60 4;60 1;60 5;
